english,irish
beginning to distinguish between shapes that lie flat and solid forms that stand up on their own,tús a chur le hidirdhealú a dhéanamh idir cruthanna a luíonn go cothrom agus foirmeacha soladacha a sheasann gan tacaíocht
"fat, twisty, squat, bumpy","ramhar, lúbach, stóinsithe, cnapach"
making a variety of forms in clay,foirmeacha éagsúla a dhéanamh i gcré
"squeezing, pinching, pulling, squashing, prodding a small ball of clay","liathróid bheag chré a fháisceadh, a tharraingt, a bhrú, a phriocadh agus a rolladh"
tearing pieces from the clay and putting them together again,píosaí a shracadh as an gcré agus iad a chur le chéile arís
"pressing sticks, lollipop sticks, feathers or buttons into the clay","cipíní, cipíní líreacáin, cleití nó cnaipí a bhrú isteach sa chré"
"experimenting with surface mark-making, texture and pattern","turgnamh le marcanna, le huigeacht agus le gréas a dhéanamh ar dhromchla"
making a variety of real or imaginary animals,raon d'ainmhithe nó d'ainmhithe samhailteacha éagsúla a dhéanamh
talking about the marks made,na marcanna a rinneadh a phlé
turning a ball of clay into an imaginary creature,créatúr samhailteach a dhéanamh de liathróid chré
describing the clay form,cur síos ar an bhfoirm chré
how he/she enjoyed manipulating the clay,mar a thaitin sé leis/léi an chré a láimhsiú
how the craftsperson may have worked with it,"mar a d'oibrigh an ceardaí leis an gcré, b'fhéidir"
materials and tools used,na hábhair agus na huirlisí a úsáideadh
what he/she likes best about the clay form,an ghné den fhoirm chré is mó a thaitníonn leis/léi
"feeling and handling natural forms (e.g. smooth stones, pieces of smooth tree branches, suitable fruit)","foirmeacha nádúrtha a mhothú agus a láimhsiú (m.sh. clocha sleamhna, píosaí de ghéaga sleamhna crainn, torthaí oiriúnacha)"
beginning to distinguish between shapes that lie flat and solid forms that stand up on their own,tús a chur le hidirdhealú a dhéanamh idir cruthanna a luíonn go cothrom agus foirmeacha soladacha a sheasann gan tacaíocht
"fat, twisty, squat, bumpy","ramhar, lúbach, stóinsithe, cnapach"
making a variety of forms in clay,foirmeacha éagsúla a dhéanamh i gcré
"squeezing, pinching, pulling, squashing, prodding a small ball of clay","liathróid bheag chré a fháisceadh, a tharraingt, a bhrú, a phriocadh agus a rolladh"
tearing pieces from the clay and putting them together again,píosaí a shracadh as an gcré agus iad a chur le chéile arís
"pressing sticks, lollipop sticks, feathers or buttons into the clay","cipíní, cipíní líreacáin, cleití nó cnaipí a bhrú isteach sa chré"
"experimenting with surface mark-making, texture and pattern","turgnamh le marcanna, le huigeacht agus le gréas a dhéanamh ar dhromchla"
making a variety of real or imaginary animals,raon d'ainmhithe nó d'ainmhithe samhailteacha éagsúla a dhéanamh
talking about the marks made,na marcanna a rinneadh a phlé
turning a ball of clay into an imaginary creature,créatúr samhailteach a dhéanamh de liathróid chré
describing the clay form,cur síos ar an bhfoirm chré
how he/she enjoyed manipulating the clay,mar a thaitin sé leis/léi an chré a láimhsiú
how the craftsperson may have worked with it,"mar a d'oibrigh an ceardaí leis an gcré, b'fhéidir"
materials and tools used,na hábhair agus na huirlisí a úsáideadh
what he/she likes best about the clay form,an ghné den fhoirm chré is mó a thaitníonn leis/léi
"feeling and handling natural forms (e.g. smooth stones, pieces of smooth tree branches, suitable fruit)","foirmeacha nádúrtha a mhothú agus a láimhsiú (m.sh. clocha sleamhna, píosaí de ghéaga sleamhna crainn, torthaí oiriúnacha)"
describing the structure,cur síos a dhéanamh ar an struchtúr
how the pieces were put together,mar a cuireadh na píosaí le chéile
the materials and tools chosen,na hábhair agus na huirlisí a roghnaíodh
what he/she likes best about the work,an ghné den saothar is mó a thaitníonn leis/léi
"a public building, farm buildings","foirgneamh poiblí, foirgnimh fheirme"
"deciding how many pieces were used to make a table, a swing, a seesaw","líon na bpíosaí a úsáideadh chun bord, luascán nó maide corrach a dhéanamh a mheas"
"doll's house, toy buildings, pop-up structures, birds' nests, model farms, simple furniture in the room, cutlery trays","teach bábóige, foirgnimh bhréige, struchtúir a phreabann aníos de sciotán, neadacha éan, samhail d'fheirm, troscán simplí i seomra, tráidirí sceanra"
"discovering the tallest, lowest, widest, narrowest parts of the structure","na codanna is airde, is leithne agus is caoile den struchtúr a fhionnachtain"
"grouping, balancing and building with small components and with construction toys that allow free play","grúpáil, cothromú agus tógáil a dhéanamh le comhpháirteanna beaga agus le bréagáin thógála atá oiriúnach do shaorshúgradh"
rearranging the structure,an struchtúr a atheagrú
drawing or painting what it might be like to be in that structure,mar a mhothódh bheith istigh sa struchtúr sin a léiriú trí líníocht nó trí phéinteáil
making a stabile to explore line and shape in a structure,staibíl a dhéanamh chun líne agus cruth a iniúchadh i struchtúr
"making an imaginative dwelling using boxes, pieces of polystyrene",boscaí agus píosaí polaistiréine a úsáid chun áitreabh samhailteach a dhéanamh
making an imaginative play structure with large boxes balanced on each other,boscaí móra a chothromú ar a chéile chun struchtúr shamhlailteacha a dhéanamh
making an imaginative plaything (e.g. making a space helmet or party hat using a large box),bréagán samhailteach a dhéanamh (m.sh. bosca mór a úsáid chun clogad spáis nó hata cóisire a dhéanamh)
painting the finished work in a limited colour range to focus on colour and pure colour (hue),raon teoranta dathanna a úsáid chun an déantúsán a phéinteáil agus béim a leagan ar dhath agus ar fhíordhath (lí)
describing the structure,cur síos a dhéanamh ar an struchtúr
how the pieces were put together,mar a cuireadh na píosaí le chéile
the materials and tools chosen,na hábhair agus na huirlisí a roghnaíodh
what he/she likes best about the work,an ghné den saothar is mó a thaitníonn leis/léi
"a public building, farm buildings","foirgneamh poiblí, foirgnimh fheirme"
"deciding how many pieces were used to make a table, a swing, a seesaw","líon na bpíosaí a úsáideadh chun bord, luascán nó maide corrach a dhéanamh a mheas"
"doll's house, toy buildings, pop-up structures, birds' nests, model farms, simple furniture in the room, cutlery trays","teach bábóige, foirgnimh bhréige, struchtúir a phreabann aníos de sciotán, neadacha éan, samhail d'fheirm, troscán simplí i seomra, tráidirí sceanra"
"discovering the tallest, lowest, widest, narrowest parts of the structure","na codanna is airde, is leithne agus is caoile den struchtúr a fhionnachtain"
"grouping, balancing and building with small components and with construction toys that allow free play","grúpáil, cothromú agus tógáil a dhéanamh le comhpháirteanna beaga agus le bréagáin thógála atá oiriúnach do shaorshúgradh"
rearranging the structure,an struchtúr a atheagrú
drawing or painting what it might be like to be in that structure,mar a mhothódh bheith istigh sa struchtúr sin a léiriú trí líníocht nó trí phéinteáil
making a stabile to explore line and shape in a structure,staibíl a dhéanamh chun líne agus cruth a iniúchadh i struchtúr
"making an imaginative dwelling using boxes, pieces of polystyrene",boscaí agus píosaí polaistiréine a úsáid chun áitreabh samhailteach a dhéanamh
making an imaginative play structure with large boxes balanced on each other,boscaí móra a chothromú ar a chéile chun struchtúr shamhlailteacha a dhéanamh
making an imaginative plaything (e.g. making a space helmet or party hat using a large box),bréagán samhailteach a dhéanamh (m.sh. bosca mór a úsáid chun clogad spáis nó hata cóisire a dhéanamh)
painting the finished work in a limited colour range to focus on colour and pure colour (hue),raon teoranta dathanna a úsáid chun an déantúsán a phéinteáil agus béim a leagan ar dhath agus ar fhíordhath (lí)
describing what is happening in the drawing,cur síos ar a bhfuil ag titim amach sa líníocht
his/her favourite part,an mhionpháirt is mó a thaitníonn leis/léi féin
