english,irish
use more complex print-making techniques to make theme-based or non-representational prints,úsáid a bhaint as raon de theicníochtaí priontála níos coimpléascaí chun priontaí neamhléiritheacha nó cinn bunaithe ar théamaí a dhéanamh
use a computer art program to create original images that are not dependent on clip art,ríomhchlár ealaíne a úsáid chun buníomhánna nach bhfuil ag brath ar phictiúir ghearrtha a chruthú
make prints for functional uses (as well as for their own sake),monaiphriontaí a dhéanamh lena n-úsáid (agus ar a son féin chomh maith)
experiment with more complex printmaking techniques,taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála
"look at, handle and talk about natural and manufactured objects for experience of texture, shape and pattern","earraí nádúrtha agus earraí saothraithe a bhreathnú, a láimhsiú agus a phlé chun taithí a fháil ar uigeacht, ar chruth agus ar ghréas"
"look at and talk about his/her work, the work of other children and art prints or print design that demonstrate a variety of print-making techniques","a s(h)aothar féin, saothar páistí eile, priontaí ealaíne nó priontdhearadh a léiríonn teicníochtaí éagsúla priontála a bhreathnú agus a phlé"
paint from observation,péinteáil bunaithe ar bhreathnóireacht
make paintings based on recalled feelings and experiences and discover ways of achieving spatial effects,pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus slite chun maisíochtaí spásúlacha a bhaint amach a fhionnachtain
express his/her imaginative life and interpret imaginative themes using colour expressively,a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach
explore the relationship between how things feel and how they look,an coibhneas idir mothú agus cuma rudaí a iniúchadh
"explore colour with a variety of colour drawing instruments, media and techniques","dath a iniúchadh trí fheidhm a bhaint as raon d'uirlisí líníochta, de mhéain agus de theicníochtaí dathaithe"
discover pattern and rhythm in natural and manufactured objects,gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe
discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities,comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha
become sensitive to increasingly subtle colour differences and tonal variations in natural and manufactured objects,a bheith íogaireach do dhifríochtaí níos fíneálta datha agus do thoin éagsúla in earraí nádúrtha agus in earraí saothraithe
"look at and talk about his/her work, the work of other children and the work of artists","breathnú ar a s(h)aothar féin, ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé"
