Subject;Class;Strand;Strand Unit;Content Objectives;Further Information
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss issues of major concern;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss ideas and concepts encountered in other areas of the curriculum;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;use a discussion of the familiar as the basis of a more formal or objective grasp of a topic or concept;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;use the basic key questions and checking questions as a means of extending knowledge;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;listen to a presentation on a particular topic, decide through discussion which are the most appropriate questions to ask, and then prioritise them;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;argue points of view from the perspective of agreement and disagreement through informal discussion and in the context of formal debates;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;justify and defend particular opinions or attitudes and try to persuade others to support a particular point of view;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;respond to arguments presented by the teacher;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;discuss the value, truth or relevance of popular ideas, causes and proverbs;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;explore and express conflicts of opinion through improvisational drama;
English;5th Class & 6th Class;Oral Language ;Developing cognitive abilities through oral language ;explore historical contexts through improvisational drama;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;give a description, recount a narrative or describe a process, and answer questions about it;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;listen to other children describe experiences and ask questions about their reactions to them;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;become increasingly explicit in relation to people, places, times, processes and events by adding elaborative detail to what he/she describes and narrates;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;listen to a story or narrative and ask questions about it;
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;engage in real and imaginary situations involving language use ;explain, persuade, enquire, report, agree, dissent, discuss a point of view, justify opinions, 
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;engage in real and imaginary situations involving language use ;provide solutions to problems
English;1st Class & 2nd Class;Oral Language ;Developing cognitive abilities through oral language ;ask questions that will satisfy his/her curiosity and wonder ;who? where? what? when? why? how? what if?
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;provide further information in response to the teacher's prompting;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;listen to a story or a narrative and ask questions about it;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;focus on descriptive detail and begin to be explicit in relation to people, places, times, processes, events, colour, shape, size, position;
English;Junior Infants & Senior Infants;Oral Language ;Developing cognitive abilities through oral language ;discuss different possible solutions to simple problems;
