Subject,Class,Strand,Strand Unit,Content Objectives,Further Information
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces, demonstrating increasing sensitivity and control","looking closely at specially chosen objects and interpreting qualities of line, shape, texture, light and shade"
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces, demonstrating increasing sensitivity and control","concentrating as appropriate on outline drawing, silhouette, shape, tone, texture, pattern and rhythm and structure"
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,discover how line could convey movement and rhythm,movement in nature (cloud shapes) 
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,discover how line could convey movement and rhythm,calligraphic styles (the Book of Kells) 
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,discover how line could convey movement and rhythm,cartoon figures in action
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,"make drawings based on themes reflecting broadening interests, experiences and feelings","pastimes, outings, special events"
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw imaginative themes using inventive pattern and detail,"stories, poems, songs "
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw imaginative themes using inventive pattern and detail,"dream cars, motorcycles or houses "
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw imaginative themes using inventive pattern and detail,futuristic fashion 
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw imaginative themes using inventive pattern and detail,characters in cartoon strips 
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw imaginative themes using inventive pattern and detail,designing and sketching plans for a three dimensional project
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw from observation,still life arrangements 
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw from observation,"aspects of the environment when viewed from different angles, using a viewfinder (or a classroom window) to help position objects and define space "
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw from observation,the human figure (e.g. a classmate in a particular setting) 
Visual Arts ,5th Class & 6th Class,Drawing,Making Drawings ,draw from observation,details of the human figure (e.g. a portrait of a classmate)
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","interpreting, as appropriate, line, tone, texture, pattern "
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","using crayons, soft pencils, charcoal, chalks, textured papers, fabrics "
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces","using a computer art program to experiment with marks, lines, shapes, pattern and rhythm"
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,make drawings based on his/her personal or imaginative life with a growing sense of spatial relationships,"friends skipping, playing ball, running in the yard "
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,make drawings based on his/her personal or imaginative life with a growing sense of spatial relationships,imaginative themes based on the fantastic and the magical
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,explore shape as seen in natural and manufactured objects and become aware of the shape of shadows cast by objects,making silhouette drawings of simple objects 
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,explore shape as seen in natural and manufactured objects and become aware of the shape of shadows cast by objects,drawing the shapes of objects and their shadows
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,draw from observation,"a variety of natural and manufactured objects (e.g. a tree, leaf, flower, fruit, vegetable, objects grouped on shelves or display tables) "
Visual Arts ,1st Class & 2nd Class,Drawing,Making Drawings ,draw from observation,a classmate
