"Subject";"Class";"Strand";"Strand Unit";"Content Objectives";"Further Information";;;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"turgnamh le marcanna a dhéanamh le huirlisí éagsúla líníochta ar raon de dhromchlaí";"lúbarnach";" smeartha";" griothalach";" criáin an-éadrom";" an-dorcha";" pinn luaidhe boga";" cailceanna";" páipéir uigeacha";;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"turgnamh le marcanna a dhéanamh le huirlisí éagsúla líníochta ar raon de dhromchlaí";"na féidearthachtaí chun marcanna a dhéanamh atá ag uirlisí líníochta ar ríomhaire a iniúchadh";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar mhothúcháin a thabharfaí chun cuimhne go grinn";" ar dhearbheispéireas";" ar eispéireas samhlaíoch agus ar scéalta a dhéanamh";"an baile agus súgradh ";;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar mhothúcháin a thabharfaí chun cuimhne go grinn";" ar dhearbheispéireas";" ar eispéireas samhlaíoch agus ar scéalta a dhéanamh";"brionglóidí agus tnútháin ";;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar mhothúcháin a thabharfaí chun cuimhne go grinn";" ar dhearbheispéireas";" ar eispéireas samhlaíoch agus ar scéalta a dhéanamh";"ócáidí speisialta";;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"líne agus cruth mar a fheictear iad in earraí nádúrtha agus in earraí saothraithe a fhionnachtain agus a tharraingt agus a fhionnachtain gur féidir cruthanna a dhéanamh le línte";"líne i gclocha";" i nduilleoga";" in iornaí snátha";;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"líne agus cruth mar a fheictear iad in earraí nádúrtha agus in earraí saothraithe a fhionnachtain agus a tharraingt agus a fhionnachtain gur féidir cruthanna a dhéanamh le línte";"rud cuarach";" mór";" beag";" simplí";" rud a bhfuil corr dhíreach air";" cruthanna casta";;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"an gaol idir mothú agus cuma rudaí a iniúchadh";"uigeacht in earraí nádúrtha agus in earraí saothraithe";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Líníocht";"Líníochtaí a dhéanamh";"an gaol idir mothú agus cuma rudaí a iniúchadh";"saghsanna áirithe uigeachta a léirmhíniú trí mharcanna agus chuimealtáin a dhéanamh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" línte";" cruthanna";" uigeacht";" gréasa agus toin éagsúla a dhéanamh ar raon de dhromchlaí le huirlisí éagsúla agus breis íogaireachta agus smachta á léiriú";"breathnú go grinn ar ábhair a roghnaíodh go speisialta chuige agus cáilíochtaí líne";" gréasa";" uigeachta";" solais agus spáis a léirmhíniú ";;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" línte";" cruthanna";" uigeacht";" gréasa agus toin éagsúla a dhéanamh ar raon de dhromchlaí le huirlisí éagsúla agus breis íogaireachta agus smachta á léiriú";"díriú";" de réir mar is cuí";" ar líníocht imlíneach";" ar chruth";" ar thon";" ar uigeacht";" ar ghréas agus rithim";" agus ar struchtúr"
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"a fhionnachtain mar a d'fhéadfadh líne gluaiseacht agus rithim a chur in iúl";"gluaiseacht sa dúlra (cruthanna scamall) ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"a fhionnachtain mar a d'fhéadfadh líne gluaiseacht agus rithim a chur in iúl";"stíleanna peannaireachta (Leabhar Ceanannais)";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"a fhionnachtain mar a d'fhéadfadh líne gluaiseacht agus rithim a chur in iúl";"fíoracha cartúin ag gníomhú";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar théamaí a léiríonn spéiseanna";" eispéiris agus mothúcháin fhorásacha a dhéanamh";"caitheamh aimsire";" turasanna";" eachtraí speisialta";;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"gréas agus mionsonraí airgtheacha a úsáid chun téamaí samhlaíocha a líniú";"scéalta";" dánta";" amhráin ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"gréas agus mionsonraí airgtheacha a úsáid chun téamaí samhlaíocha a líniú";"gluaisteáin";" gluaisrothair nó tithe gleoite ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"gréas agus mionsonraí airgtheacha a úsáid chun téamaí samhlaíocha a líniú";"faisean na todhchaí ";;;;;;;;;;;
