id,objective_id,title_en_GB
1,1,"making animals or birds, real or imagined, and finishing them with surface texture and/or incised decoration"
2,1,"making sturdy clay figures based on stories, poems, songs, music, drama"
3,2,decorating clay slabs with patterns of small clay coils and pellets
4,2,experimenting with textural effects
5,2,"working in low relief on small, thick slabs of clay"
6,3,making forms of different sizes that have simple flowing contours
7,3,"squeezing, pinching, pulling, squashing, prodding, rolling a small ball of clay"
8,3,tearing pieces from the clay and putting them together again
9,4,designing and making a pinch-pot or a coil-built pot
10,4,finishing it with incised decoration or paint and varnishing it when dry
11,5,designing and making a house
12,5,designing and making a variety of buildings to suggest a town
13,6,describing the form
14,6,how it felt to work with the clay
15,6,how the sculptor may have worked
16,6,what he/she likes best about the work
17,6,what he/she or the artist was trying to express
18,7,"pebbles, shells, fir cones, soft, moulded or carved toys, simple pottery"
19,8,"a shopping centre, a farm building, the school, a castle"
20,8,"toys, machines, playground furniture"
21,9,describing the structure
22,9,how balance was achieved
23,9,how the spaces were arranged
24,9,the materials and tools chosen and other possible choices
25,9,what he/she likes best about the work
26,9,what he/she was trying to express
27,10,"habitats of burrowing animals, towers"
28,11,"grouping, balancing and building with relatively small components and with construction toys that allow free play"
29,11,how materials can be joined together
30,11,"how some materials can add colour, pattern, texture, interest"
31,11,how some materials help to create or suggest form
32,11,how structure and balance are achieved
33,11,how the different parts relate to the whole
34,11,how the various outlines and spaces are created
35,12,designing a large imaginative complex with a variety of spaces for inventive use (e.g. a castle)
36,12,"designing an imaginative plaything from waste material (e.g. a robot, a fantastic toy)"
37,12,designing an imaginative structure with some complexity in the division of space (e.g. a miniature theatre set)
38,13,describing what is happening in the drawing
39,13,how materials and tools were used and effects created
40,13,"lines, shapes, textures, patterns, tones created and arranged to compose the drawing"
41,13,what he/she likes best about the drawing
42,13,what was intended
43,14,a classmate
44,14,"a variety of natural and manufactured objects (e.g. a tree, leaf, flower, fruit, vegetable, objects grouped on shelves or display tables)"
45,15,"interpreting, as appropriate, line, tone, texture, pattern"
46,15,"using a computer art program to experiment with marks, lines, shapes, pattern and rhythm"
47,15,"using crayons, soft pencils, charcoal, chalks, textured papers, fabrics"
48,16,drawing the shapes of objects and their shadows
49,16,making silhouette drawings of simple objects
50,17,"friends skipping, playing ball, running in the yard"
51,17,imaginative themes based on the fantastic and the magical
52,18,discovering and talking about how different textures feel and how they compare when put together
53,18,experimenting in changing open-weave fabric (e.g. hessian)
54,18,removing sets of fibres in either direction
55,18,talking about and inventing stitches
56,18,threading in decorative items
57,18,weaving in contrasting fibres
58,19,"sewing, lacing or pinning large fabric strips together to create a magic cloak"
59,19,using old clothes
60,20,creating colourful and/or textural effects
61,20,"creating line, shape, colour, texture"
62,20,decorating a small piece of fabric with stitches and other additions
63,20,designing and making a non-representational or theme-based collage or appliqué
64,20,designing and making soft sculptures or puppets
65,20,"developing colour, texture, shape awareness"
66,20,filling in some of the shapes created with colourful and/or textural effects
67,20,"paying close attention to and talking about the shapes created, the shapes between the shapes and whether some of them overlap"
68,20,using old clothes
69,20,weaving small individual pieces
70,22,describing the work
71,22,"the colours, textures, patterns and effects created"
72,22,what he/she intended
73,22,what he/she likes best about the work
74,23,colour and pattern
75,23,covering and folding qualities
76,23,"soft, fluffy, coarse, stiff, warm, cool, finely or thickly woven"
77,24,describing what is happening in the painting
78,24,how colour was used and effects created
79,24,how they are arranged in the painting
80,24,the colours and tones chosen
81,24,"the lines, shapes, textures and pattern created"
82,24,what he/she likes best about the painting
83,24,what he/she or the artist was trying to express
84,25,discover colour and tone through themes chosen for their colour possibilities (e.g. a sunny or stormy sky)
85,26,using repeated complementary colours to add variety to his/her work
86,27,colour-and-shape games based on camouflage
87,27,features that blend with their environment and those that stand out
88,28,"paint, crayons, chalks, coloured pencils, felttipped or fibre-tipped pens"
89,28,"print, collage, fabric and fibre"
90,28,using a computer art program to experiment with colour and to create images
91,29,"creating creamy, crumbly textures"
92,29,interpreting a variety of these in colour and tone
93,29,"rough, smooth, bumpy, prickly, fluffy"
94,29,texture in natural and manufactured objects
95,30,flowers and other objects from the nature table
96,30,toys with imagined background detail
97,31,"particular moments from stories, poems, songs, music"
98,31,what might happen next in a story
99,32,describing the print
100,32,how materials and tools were used to create effects
101,32,"line, shape, colour and tone, texture, pattern and how they combine"
102,32,looking at some prints to investigate printmaking techniques (e.g. comparing the lithograph with his/her own wax-resist technique)
103,32,what he/she likes about the print
104,35,discovering how simple prints could be further developed by overprinting with contrasting colours and with the same or contrasting shapes
105,35,"making rubbings from tree bark, fabrics"
106,35,"using a limited colour range to focus on texture, shape, negative shape, pattern"
107,35,with oddments that have interesting textures and/or shapes
108,36,composing a relief print block using one or more colours
109,36,creating a design for a print by drawing thick and thin lines into a slab of clay
110,36,doing a number of exploded designs using a computer art program
111,36,making a variety of relief prints
112,36,making stencils
113,36,making wax-crayon
114,36,making wax-resist pictures
115,36,masking areas of an inked surface from which prints have already been taken
116,36,printing with mask-outs
117,36,sponge painting over a wax crayon or candle design
118,36,spray or sponge painting over stencils cut to his/her design
119,36,transfer prints using wax crayons of various colours to print out as a coloured drawing
120,37,"decorating clay slabs with coil and pellet designs in line, shape and pattern and/or with textural effects"
121,37,"making simple low-relief sculptures,considering shape and negative shape (e.g. illustrating a moment from stories, poems, songs)"
122,37,"making small pieces of incised jewellery (e.g. medals, pendants)"
123,38,experimenting in balancing some of the forms
124,38,experimenting with non-representational forms
125,38,"squeezing, pinching, pulling, squashing, prodding, rolling and re-forming a small ball of clay"
126,38,tearing pieces from the clay and putting them together again without a noticeable joining
127,39,designing and making a pinch-pot or a coilbuilt pot
128,39,"finishing it with incised decoration, with coil and pellet design or painting it when dry"
129,39,making imaginative pinch-pot creatures
130,40,"from stories and poems, songs, music, drama"
131,41,designing and making a theme-based structure (e.g. a house for a particular purpose)
132,41,designing and making non-representational structures (e.g. balancing and interlocking forms)
133,42,designing and making exotic papier maché heads
134,42,"designing and making papier maché masks to illustrate stories, poems, songs or festivals"
135,43,"balance, symmetry and overall effect"
136,43,describing the form
137,43,how he/she or the sculptor used materials
138,43,problems experienced and solved
139,43,the malleable nature of the clay
140,43,what he/she likes about the work
141,43,what he/she or the sculptor was trying to express
142,44,"bowls with decorative surfaces, pottery based on animal forms"
143,45,"pottery, household items with interesting forms"
144,46,describing the structure
145,46,how balance was achieved
146,46,how construction or aesthetic problems were resolved
147,46,the arrangement and functions of the spaces created
148,46,the materials and tools chosen for the task
149,46,what he/she likes about the work
150,48,"honeycomb, bridges, tower blocks, farm buildings"
151,49,exploring the possibilities of free-standing abstract paper sculpture
152,49,"group, balance and build with a variety of materials"
153,49,how the different parts relate to the whole
154,49,"the spaces created, the play of light on the structure"
155,49,the various outlines and spaces created
156,49,whether the structure is delicately balanced or robust and solid
157,50,"investigating structure and balance in contemporary architecture and sculpture, in cast-iron structures, in bridges and in nature"
158,51,designing a model for a building complex
159,51,"designing a relief structure, concentrating on planes, shapes, rhythm, texture"
160,51,designing papier maché forms and structures (e.g. exotic heads)
161,51,talking about what functions different parts of the complex might serve
162,52,describing what is happening in the drawing
163,52,how action is suggested
164,52,how space in depth is suggested and background detail
165,52,problems encountered and solved
166,52,"the qualities of line, shape, texture, pattern and rhythm and tone created"
167,52,the work of other artists who have interpreted the theme in a similar or dissimilar way
168,52,what he/she feels about the drawing
169,52,what was intended
170,53,aspects of the environment viewed from different angles
171,53,still life arrangements
172,53,still life arrangements adding imagined backgrounds
173,53,the human figure (e.g. a classmate posing in different positions)
174,54,"concentrating, as appropriate, on outline drawing, silhouette, shape, tone, texture, pattern and rhythm"
175,54,"looking closely at specially chosen objects and discovering qualities of line, shape, texture, light and dark"
176,54,using a computer art program to create and modify images and to organise a composition
177,55,"stories, poems, songs, imaginary people, places, creatures and objects"
178,56,being in a familiar place
179,56,pastimes and games
180,57,"experimenting with line, shape, colour, pattern and texture with variously textured fibres and open-weave fabric as a stimulus for further creativity"
181,57,exploring ways of inventing stitches for decorative effect
182,58,creating costumes by stitching and pinning pieces of fabric to items of old clothing
183,59,armbands or hairbands
184,59,combining knitting with decorative items to make individual pieces of jewellery
185,59,creating small individual pieces with basic knitting stitches
186,59,decorating a piece of fabric with invented stitches
187,59,"designing and making a collage, emphasising colour"
188,59,designing and making an appliqué piece within a limited colour range to express personal themes
189,59,"emphasising colour, pattern, texture"
190,59,weaving a wall-hanging and incorporating decorative items into the fabric
191,60,knotting pieces of stuffed fabric to create forms
192,60,"stitching on features, limbs and other embellishments"
193,62,"colour combinations, patterns, textural effects achieved"
194,62,describing the piece of work
195,62,"how he/she invented, adapted and/or combined stitches for decorative effect"
196,62,the qualities of the materials and tools chosen
197,62,those he/she liked best to work with
198,62,what he/she likes best about the work
199,64,colour and pattern
200,64,"covering, folding, draping qualities"
201,64,"soft, rough, coarse, stiff, warm, cool, thinly or thickly woven, textured"
202,64,the work of artists who have used these fabrics (slides or prints)
203,65,describing what is happening in the painting
204,65,how materials and tools were used to create different effects and whether they might have been used differently
205,65,"how the shapes, textures, pattern and rhythm and contrasts combine in the composition"
206,65,the colours and tones chosen
207,65,the work of other artists who have interpreted the theme in a similar or dissimilar way
208,65,what he/she feels about the painting
209,65,what he/she or the artist was trying to express
210,66,exploring the spatial effects of colour and tone through themes chosen for their colour possibilities
211,66,mixing and reproducing as accurately as possible the colours of objects of visual interest
212,66,"using colour and tone to create a background, middle ground and foreground in simple still lifes, landscapes and cityscapes"
213,67,playing colour-mixing games
214,67,working out a colour scheme for a three dimensional model he/she may have made
215,68,using repetition and variation of contrasting colours and varieties of line types and textures to add variety and unity to a piece of work
216,69,"paint, crayons, oil or chalk pastels, coloured pencils, felt-tipped pens and fibre-tipped pens"
217,69,"print, small-scale collage"
218,69,using a computer art program to experiment with the effects of warm and cool colours
219,70,discovering texture in natural and manufactured objects
220,70,interpreting a variety of textures in colour and tone and with varied brush strokes
221,71,making large-scale group paintings of characters or story features
222,71,"stories, poems, songs, music"
223,71,what might happen next in an adventure story
224,72,recent and vividly recalled events from own life events he/she identifies with everyday familiar locations
225,73,looking closely for subtle colour combinations in natural and manufactured objects
226,73,"making large-scale paintings that emphasise colour, tone, texture, shape, rhythm"
227,73,portraits of classmates posing for different activities
228,73,the human figure showing action
229,75,comparing stencils and monoprints with his/her work
230,75,describing the print
231,75,how materials and tools were used to create and further develop the print
232,75,how problems were solved
233,75,"line, shape, negative shape, texture, pattern, colour used to create the image or design"
234,75,looking at some prints to investigate printmaking techniques (as well as for their own sake)
235,75,what he/she likes about the work
236,77,discovering how simple prints could be further developed (e.g. overlapping shapes)
237,77,"printing with a limited colour range to help focus on creating more complex images in shape, texture, pattern"
238,78,"for use on wrapping paper, boxes, fabric"
239,78,making posters for specific purposes
240,79,organising a layout for a print design
241,80,combining with other techniques
242,80,"composing relief print blocks, emphasising line, shape, negative shape, texture, pattern"
243,80,creating interesting patterns and rhythms by juxtaposing stamps
244,80,impressing found items into a slab of clay
245,80,making a variety of relief prints
246,80,making a variety of small-scale relief prints (stamp printing)
247,80,making monoprints emphasising line and shape
248,80,making stencils
249,80,masking out some areas
250,80,spray or sponge painting over stencils cut to his/her design
251,81,"in non-representational or theme-based sculpture (e.g. rain dripping into a stream, the regatta)"
252,82,experimenting with balance and proportion
253,82,modelling the human head or a sturdy human figure
254,82,use clay to analyse and interpret form from observation
255,83,developing understanding of structure through constructing and combining elements in clay
256,83,how the positioning of weight stabilises a figure or structure (e.g. in making a set of book-ends)
257,84,using multiple spaces for a more complex structure (e.g. a house with extensions)
258,85,designing imaginative pinch-pot sculptures (e.g. exotic animals or creatures)
259,85,"designing, making and decorating pinch or coil-built pots"
260,86,"designing papier maché masks, heads or models to illustrate stories, poems, songs and festivals"
261,87,analysing the relationships between the parts and the whole
262,87,describing the form
263,87,pleasing aspects of the work
264,87,problems encountered and solved in interpreting the human head in clay
265,87,the experience of working with materials
266,87,ways of combining elements in constructing and achieving balance
267,87,what he/she or the artist was trying to express
268,89,"fruit, pottery, household items with interesting forms"
269,90,describing the construction
270,90,how the materials chosen helped to fulfil or frustrate his/her intentions
271,90,"spaces, outlines, rhythms created"
272,90,what he/she feels about the construction
273,91,make a plan or model for an imaginative building
274,92,"large seed heads, containers (e.g. spiral sea shells)"
275,92,"shopping centres, churches"
276,93,exploring the possibilities of abstract free-standing paper sculpture
277,93,how the different parts relate to the whole
278,93,outlines and spaces created
279,93,the overall sense of balance created
280,93,the play of light on the structure
281,93,the rhythms that are set up
282,93,whether some areas of the structure are busier than others
283,93,whether the structure is delicately balanced or robust and solid
284,94,drawing structures seen in nature and exploring light and shade
