id,unit_id,title_en_GB
1,1,"change the form of a small ball of clay, using the medium expressively"
2,1,"experiment with and develop line, shape, texture and pattern in clay"
3,1,explore and discover the possibilities of clay as a medium for imaginative expression
4,1,make simple pottery
5,1,work inventively with cubes or oblong blocks of clay and add details to suggest a solid structure
6,2,"look at and talk about his/her work, the work of other children and figures by famous sculptors with contrasting styles (or slides or prints)"
7,2,"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form"
8,3,"look at and talk about a local building complex, at a famous building and at visually stimulating artefacts (or slides or prints)"
9,3,look at and talk about his/her work and the work of other children
10,3,"look at collections or photographs of natural and built structures and investigate spatial arrangements, balance and outline and how the spaces created relate to the whole"
11,4,explore and experiment with the properties and characteristics of materials in making structures
12,4,make imaginative structures
13,5,"look at and talk about his/her work, the work of other children and the work of artists"
14,6,draw from observation
15,6,"experiment with the marks, lines, shapes, textures, patterns and tones that can be made with different drawing instruments on a range of surfaces"
16,6,explore shape as seen in natural and manufactured objects and become aware of the shape of shadows cast by objects
17,6,make drawings based on his/her personal or imaginative life with a growing sense of spatial relationships
18,7,explore and discover the possibilities of fabric and fibre as media for imaginative expression
19,7,invent a costume
20,7,make small inventive pieces with fabric and fibre
21,8,look at and talk about fabrics crafts and artefacts and visit a craftsperson at work if possible
22,8,look at and talk about his/her work and the work of other children
23,8,"look at, handle and talk about a variety of fabrics and fibres for experience of tactile, visual and spatial qualities"
24,9,"look at and talk about his/her work, the work of other children and the work of artists"
25,10,"discover colour in the visual environment and become sensitive to tonal variations between light and dark, and to variations in pure colour (hue)"
26,10,"discover colour, pattern and rhythm in natural and manufactured objects and interpret them in his/her work"
27,10,discover harmony and contrast in natural and manufactured objects and through themes chosen for their colour possibilities
28,10,explore colour with a variety of materials and media
29,10,explore the relationship between how things feel and how they look
30,10,paint objects chosen for their colour possibilities
31,10,use colour expressively to interpret themes based on his/her personal or imaginative life
32,11,"look at and talk about his/her work, the work of other children and art prints that have relatively simple shapes, textures and patterns"
33,11,look at examples of print design in everyday use
34,11,"look at, handle and talk about familiar objects for experience of shape, texture and pattern"
35,12,experiment with the effects that can be achieved with simple print-making techniques
36,12,use a variety of print-making techniques to make theme-based or non-representational prints
37,13,"develop line, shape, texture and pattern in clay"
38,13,explore and discover the possibilities of clay as a medium for imaginative expression
39,13,make simple clay pots
40,13,make sturdy figures in clay using the medium expressively and with imaginative detail
41,13,work inventively and expressively with cubes or oblong blocks of clay
42,13,work inventively and expressively with papier maché
43,14,"look at and talk about his/her work, the work of other children and figurative and non-representational pieces of sculpture (slides or prints)"
44,14,"look at and talk about ritual masks, street theatre masks and figures, and functional and decorative pottery (or slides or prints)"
45,14,"look at, handle and talk about natural and manufactured objects for experience of three-dimensional form"
46,15,look at and talk about his/her work and the work of other children
47,15,look at and talk about interesting examples of contemporary architecture and the work of great architects and builders of history
48,15,"look at collections or photographs of natural and built structures and investigate spatial arrangements, balance, outline"
49,16,explore and experiment with the properties and characteristics of materials in making structures
50,16,make drawings from observation to analyse the structures of buildings and the natural structures of plants
51,16,make imaginative structures
52,17,"look at and talk about his/her work, the work of other children and the work of artists"
53,18,draw from observation
