id,subject_id,academic_band,title
19,1,1,Clay
20,1,1,Construction
21,1,1,Drawing
22,1,1,Fabric and Fibre
23,1,1,Paint and colour
24,1,1,Print
28,2,1,Drama to explore feelings, knowledge and ideas, leading to understanding
38,3,1,Composing
39,3,1,Listening and responding
40,3,1,Performing
53,4,1,Éisteacht
54,4,1,Labhairt
55,4,1,Léitheoireacht
56,4,1,Scríbhneoireacht
66,5,1,Oral Language
67,5,1,Reading
68,5,1,Writing
84,7,1,Myself and my family
85,7,1,Story
86,7,1,Myself and my family
96,8,1,Environmental awareness and care
97,8,1,Human environments
98,8,1,Natural environments
111,9,1,Energy and forces
112,9,1,Environmental awareness and care
113,9,1,Living things
114,9,1,Materials
133,10,1,Aquatics
134,10,1,Athletics
135,10,1,Dance
136,10,1,Games
137,10,1,Gymnastics
138,10,1,Outdoor and adventure activities
148,12,1,Myself
149,12,1,Myself and others
150,12,1,Myself and the wider world
163,13,1,Éisteacht
164,13,1,Labhairt
1,1,2,Clay
2,1,2,Construction
3,1,2,Drawing
4,1,2,Fabric and Fibre
5,1,2,Paint and colour
6,1,2,Print
25,2,2,Drama to explore feelings, knowledge and ideas, leading to understanding
29,3,2,Composing
30,3,2,Listening and responding
31,3,2,Performing
41,4,2,Éisteacht
42,4,2,Labhairt
43,4,2,Léitheoireacht
44,4,2,Scríbhneoireacht
57,5,2,Oral Language
58,5,2,Reading
59,5,2,Writing
69,7,2,Change and continuity
70,7,2,Myself and my family
71,7,2,Story
87,8,2,Environmental awareness and care
88,8,2,Human environments
89,8,2,Natural environments
99,9,2,Energy and forces
100,9,2,Environmental awareness and care
101,9,2,Living things
102,9,2,Materials
115,10,2,Aquatics
116,10,2,Athletics
117,10,2,Dance
118,10,2,Games
119,10,2,Gymnastics
120,10,2,Outdoor and adventure activities
139,12,2,Myself
140,12,2,Myself and others
141,12,2,Myself and the wider world
151,13,2,Éisteacht
152,13,2,Labhairt
7,1,3,Clay
8,1,3,Construction
9,1,3,Drawing
10,1,3,Fabric and Fibre
11,1,3,Paint and colour
12,1,3,Print
26,2,3,Drama to explore feelings, knowledge and ideas, leading to understanding
32,3,3,Composing
33,3,3,Listening and responding
34,3,3,Performing
45,4,3,Éisteacht
46,4,3,Labhairt
47,4,3,Léitheoireacht
48,4,3,Scríbhneoireacht
60,5,3,Oral Language
61,5,3,Reading
62,5,3,Writing
72,7,3,Continuity and change over time
73,7,3,Early peoples and ancient societies
74,7,3,Life, society, work and culture in the past
75,7,3,Local studies
76,7,3,Story
90,8,3,Environmental awareness and care
91,8,3,Human environments
92,8,3,Natural environments
103,9,3,Energy and forces
104,9,3,Environmental awareness and care
105,9,3,Living things
106,9,3,Materials
121,10,3,Aquatics
122,10,3,Athletics
123,10,3,Dance
124,10,3,Games
125,10,3,Gymnastics
126,10,3,Outdoor and adventure activities
142,12,3,Myself
143,12,3,Myself and others
144,12,3,Myself and the wider world
155,13,3,Éisteacht
156,13,3,Labhairt
157,13,3,Léitheoireacht
158,13,3,Scríbhneoireacht
13,1,4,Clay
14,1,4,Construction
15,1,4,Drawing
16,1,4,Fabric and Fibre
17,1,4,Paint and colour
18,1,4,Print
27,2,4,Drama to explore feelings, knowledge and ideas, leading to understanding
35,3,4,Composing
36,3,4,Listening and responding
37,3,4,Performing
49,4,4,Éisteacht
50,4,4,Labhairt
51,4,4,Léitheoireacht
52,4,4,Scríbhneoireacht
63,5,4,Oral Language
64,5,4,Reading
65,5,4,Writing
77,7,4,Continuity and change over time
78,7,4,Early peoples and ancient societies
79,7,4,Eras of change and conflict
80,7,4,Life, society, work and culture in the past
81,7,4,Local studies
82,7,4,Politics, conflict and society
83,7,4,Story
93,8,4,Environmental awareness and care
94,8,4,Human environments
95,8,4,Natural environments
107,9,4,Energy and forces
108,9,4,Environmental awareness and care
109,9,4,Living things
110,9,4,Materials
127,10,4,Aquatics
128,10,4,Athletics
129,10,4,Dance
130,10,4,Games
131,10,4,Gymnastics
132,10,4,Outdoor and adventure activities
145,12,4,Myself
146,12,4,Myself and others
147,12,4,Myself and the wider world
159,13,4,Éisteacht
160,13,4,Labhairt
161,13,4,Léitheoireacht
162,13,4,Scríbhneoireacht
195,6,5,Algebra
196,6,5,Data
197,6,5,Early Mathematical Activities
198,6,5,Measures
199,6,5,Number
200,6,5,Shape and space
201,6,6,Algebra
202,6,6,Data
203,6,6,Measures
204,6,6,Number
205,6,6,Shape and space
165,6,7,Algebra
166,6,7,Data
167,6,7,Measures
168,6,7,Number
169,6,7,Shape and space
153,13,8,Léitheoireacht
154,13,8,Scríbhneoireacht
170,6,8,Algebra
171,6,8,Data
172,6,8,Measures
173,6,8,Number
174,6,8,Shape and space
175,6,9,Algebra
176,6,9,Data
177,6,9,Measures
178,6,9,Number
179,6,9,Shape and space
180,6,10,Algebra
181,6,10,Data
182,6,10,Measures
183,6,10,Number
184,6,10,Shape and space
185,6,11,Algebra
186,6,11,Data
187,6,11,Measures
188,6,11,Number
189,6,11,Shape and space
190,6,12,Algebra
191,6,12,Data
192,6,12,Measures
193,6,12,Number
194,6,12,Shape and space
