id,strand_id,title_en_GB
1,1,Developing Form in Clay
2,1,Looking and Responding
3,2,Looking and Responding
4,2,Making Constructions
5,3,Looking and Responding
6,3,Making Drawings
7,4,Creating in Fabric and Fibre
8,4,Looking and Responding
9,5,Looking and Responding
10,5,Painting
11,6,Looking and Responding
12,6,Making Prints
13,7,Developing Form in Clay
14,7,Looking and Responding
15,8,Looking and Responding
16,8,Making Constructions
17,9,Looking and Responding
18,9,Making Drawings
19,10,Creating in Fabric and Fibre
20,10,Looking and Responding
21,11,Looking and Responding
22,11,Painting
23,12,Looking and Responding
24,12,Making Prints
25,13,Developing Form in Clay
26,13,Looking and Responding
27,14,Looking and Responding
28,14,Making Constructions
29,15,Looking and Responding
30,15,Making Drawings
31,16,Creating in Fabric and Fibre
32,16,Looking and Responding
33,17,Looking and Responding
34,17,Painting
35,18,Looking and Responding
36,18,Making Prints
37,19,Developing Form in Clay
38,19,Looking and Responding
39,20,Looking and Responding
40,20,Making Constructions
41,21,Looking and Responding
42,21,Making Drawings
43,22,Creating in Fabric and Fibre
44,22,Looking and Responding
45,23,Looking and Responding
46,23,Painting
47,24,Looking and Responding
48,24,Making Prints
49,25,Co-operating and communicating in making drama
50,25,Exploring and making drama
51,25,Reflecting on drama
52,26,Co-operating and communicating in making drama
53,26,Exploring and making drama
54,26,Reflecting on drama
55,27,Co-operating and communicating in making drama
56,27,Exploring and making drama
57,27,Reflecting on drama
58,28,Co-operating and communicating in making drama
59,28,Exploring and making drama
60,28,Reflecting on drama
61,29,Improvising and creating
62,29,Talking about and recording compositions
63,30,Exploring sounds
64,30,Listening and responding to music
65,31,Literacy
66,31,Playing instruments
67,31,Song singing
68,32,Improvising and creating
69,32,Talking about and recording compositions
70,33,Exploring sounds
71,33,Listening and responding to music
72,34,Literacy
73,34,Playing instruments
74,34,Song singing
75,35,Improvising and creating
76,35,Talking about and recording compositions
77,36,Exploring sounds
78,36,Listening and responding to music
79,37,Literacy
80,37,Playing instruments
81,37,Song singing
82,38,Improvising and creating
83,38,Talking about and recording compositions
84,39,Exploring sounds
85,39,Listening and responding to music
86,40,Early literacy
87,40,Playing instruments
88,40,Song singing
89,41,Ag cothú spéise
90,41,Ag tuiscint teanga
91,42,Ag cothú spéise
92,42,Ag úsáid teanga
93,43,Ag cothú fonn léitheoireachta
94,43,Ag tuiscint teanga
95,43,Ag úsáid teanga
96,44,Ag cothú fonn scríbhneoireachta
97,44,Ag úsáid teanga
98,45,Ag cothú spéise
99,45,Ag tuiscint teanga
100,46,Ag cothú spéise
101,46,Ag úsáid teanga
102,47,Ag cothú fonn léitheoireachta
103,47,Ag tuiscint teanga
104,47,Ag úsáid teanga
105,48,Ag cothú fonn scríbhneoireachta
106,48,Ag úsáid teanga
107,49,Ag cothú spéise
108,49,Ag tuiscint teanga
109,50,Ag cothú spéise
110,50,Ag úsáid teanga
111,51,Ag cothú fonn léitheoireachta
112,51,Ag tuiscint teanga
113,51,Ag úsáid teanga
114,52,Ag cothú fonn scríbhneoireachta
115,52,Ag úsáid teanga
116,53,Ag cothú spéise
117,53,Ag tuiscint teanga
118,54,Ag cothú spéise
119,54,Ag úsáid teanga
120,55,Ag cothú fonn léitheoireachta
121,55,Ag tuiscint teanga
122,55,Ag úsáid teanga
123,56,Ag cothú fonn scríbhneoireachta
124,56,Ag úsáid teanga
125,57,Competence and confidence in using language
126,57,Developing cognitive abilities through oral language
127,57,Emotional and imaginative development through language
128,57,Receptiveness to language
129,58,Competence and confidence in using language
130,58,Developing cognitive abilities through language
131,58,Emotional and imaginative development through language
132,58,Receptiveness to language
133,59,Competence and confidence in using language
134,59,Developing cognitive abilities through language
135,59,Emotional and imaginative development through language
136,59,Receptiveness to language
137,60,Competence and confidence in using language
138,60,Developing cognitive abilities through oral language
139,60,Emotional and imaginative development through language
140,60,Receptiveness to language
141,61,Competence and confidence in using language
142,61,Developing cognitive abilities through language
143,61,Emotional and imaginative development through language
144,61,Receptiveness to language
145,62,Competence and confidence in using language
146,62,Developing cognitive abilities through language
147,62,Emotional and imaginative development through language
148,62,Receptiveness to language
149,63,Competence and confidence in using language
150,63,Developing cognitive abilities through oral language
151,63,Emotional and imaginative development through language
152,63,Receptiveness to language
153,64,Competence and confidence in using language
154,64,Developing cognitive abilities through language
155,64,Emotional and imaginative development through language
156,64,Receptiveness to language
157,65,Competence and confidence in using language
158,65,Developing cognitive abilities through language
159,65,Emotional and imaginative development through language
160,65,Receptiveness to language
161,66,Competence and confidence in using language
162,66,Developing cognitive abilities through oral language
163,66,Emotional and imaginative development through language
164,66,Receptiveness to language
165,67,Competence and confidence in using language
166,67,Developing cognitive abilities through language
167,67,Emotional and imaginative development through language
168,67,Receptiveness to language
169,68,Competence and confidence in using language
170,68,Developing cognitive abilities through language
171,68,Emotional and imaginative development through language
172,68,Receptiveness to language
173,69,Continuity and change in the local environment
174,70,Feasts and festivals in the past
175,70,Games in the past
176,70,My family or The family of a person known to me
177,70,Myself
178,70,When my grandparents were young
179,71,Stories
180,72,Caring for the sick
181,72,Clothes
182,72,Communications
183,72,Food and farming
184,72,Homes and houses
185,72,Homes and houses
